,tweet_id,text,favorite_count,retweet_count,created_at
70,1398159851448979456,total lockdown kalau tanpa hala tuju tu isu sebenarnya.,0,0,Fri May 28 06:10:59 +0000 2021
71,1398159851306373122,RT @wildethingy: Lockdown was great for me on a spiritual level. You can tell by the haunted look in my eyes.,0,22,Fri May 28 06:10:59 +0000 2021
72,1398159849297489921,"RT @baggins_dil: Cummings 'super forecaster'
But @RoryStewartUK was right!

Experts have narrow expertise
So MPs must determine strategy
We…",0,1,Fri May 28 06:10:59 +0000 2021
73,1398159847057543170,"RT @aajtak: Maharashtra में पूरी तरह से लॉकडाउन हटाने के मूड में नहीं है सरकार
(@mustafashk)
#MumbaiMetro: https://t.co/H21Uv4iPqk https://…",0,15,Fri May 28 06:10:58 +0000 2021
74,1398159845019295745,"RT @felixsthetic: STREAMING, VOTING, AND CREATING WF ACCS IS OUR JOB RN! WE'RE ON STAY LOCKDOWN, DON'T ENGAGE ON ANY FANWARS",0,1020,Fri May 28 06:10:58 +0000 2021
75,1398159843442139138,RT @sohanshm10: 2nd lockdown back to back living with my parents had me going - https://t.co/bFMRk4tpSp,0,3,Fri May 28 06:10:57 +0000 2021
76,1398159843081457668,"@kayyzag Im telling u, the thrift stores will all be empty once lockdown is over... from me",0,0,Fri May 28 06:10:57 +0000 2021
77,1398159842934616067,"RT @nungsari: Habis tu? Kita biarkan 50/60 orang mati setiap hari? Ini kerja kerajaanlah. Kalau kena lockdown, buat. Kalau kena bantu, bant…",0,1878,Fri May 28 06:10:57 +0000 2021
78,1398159842196430848,"RT @AsianetNewsSN: ಬಡ ಕಲಾವಿದರಿಗೆ ಯಶ್ ಅಭಿಮಾನಿಗಳಿಂದ ಕಿಟ್ ವಿತರಣೆ

Read more at: https://t.co/jLlRIEbyBg

#entertainmentnews #Sandalwood #yash…",0,204,Fri May 28 06:10:57 +0000 2021
79,1398159838803279873,"Singapur ging in einen harten Lockdown, wir öffnen. Was könnte möglicherweise schief gehen? 🤷‍♂️🤷‍♀️
https://t.co/dOSWzdaS8f",0,0,Fri May 28 06:10:56 +0000 2021
80,1398159838132113408,@BenBrownsQUADS @AydenCutajar Do you mind if I share my lockdown loaf as well https://t.co/CTpcJeYCMz,0,0,Fri May 28 06:10:56 +0000 2021
81,1398159836915798017,@airnewsalerts Wat about loan moratorium... almost all states are under lockdown ...  we don't have money for treat… https://t.co/hTs9XobHHw,0,0,Fri May 28 06:10:56 +0000 2021
82,1398159833522589696,###lockdown  #Hair cut https://t.co/GU0vh9wc9z,0,0,Fri May 28 06:10:55 +0000 2021
83,1398159831094206475,@nicola1charles If Indian variant keeps doubling the figures every week we’l prob have another mini lockdown here i… https://t.co/h045Fg6Y7L,0,0,Fri May 28 06:10:54 +0000 2021
84,1398159830678786054,".... Welcome to the State of Victoria
To Lockdown and Quarantine
Such a lovely place 
(Such a lovely place)
Such a lovely place....",0,0,Fri May 28 06:10:54 +0000 2021
85,1398159828418060290,"RT @shamaineothman: Nak bagitahu uolz skrg dekat UK, political adviser PM diorang baru dok bongkar strategi PM diorang masa lockdown tahun…",0,1483,Fri May 28 06:10:54 +0000 2021
86,1398159826664919041,RT @GauthamMachaiah: I was wondering why I could not tag @DGPKarnataka in my tweets. I just realised that I have been blocked as I have bee…,0,1,Fri May 28 06:10:53 +0000 2021
87,1398159826199318533,"@SonuSood We are very poor people, it would be great if you could help us, my mother is sick, my father can't work,… https://t.co/Tde1SFB13n",0,0,Fri May 28 06:10:53 +0000 2021
88,1398159825373208578,CENTRE ADVICES STATES to go for Lockdown extension. https://t.co/Ng4Rsp3vWc,0,0,Fri May 28 06:10:53 +0000 2021
89,1398159822458036225,"RT @feyilyas: “We can’t afford another loan moratorium,” they said. Meanwhile-

Net profit 1Q 2021:

Maybank: RM2.428 billion ⬆️18.9%
Hong…",0,309,Fri May 28 06:10:52 +0000 2021
90,1398159821019488260,"Wer vermisst hier auch den Punkt "" keine Einschränkungen"" 🤔

#Corona #Bundesnotlüge #lockdown #NRW https://t.co/qT8DASKHzE",0,0,Fri May 28 06:10:52 +0000 2021
91,1398159818909622275,"RT @LkoAlp: माननीय ,कृपया करके सभी #ALP को उनके पुर्व मे निर्धारित प्रशिक्षण कार्यक्रम के अनुसार प्रशिक्षण दिया जाए ,  ओर 1st G बैच जिसका l…",0,3,Fri May 28 06:10:52 +0000 2021
92,1398159811892547586,@j__l__t__f I’m not the type to bake on day one of lockdown. That’s just crazy talk.,0,0,Fri May 28 06:10:50 +0000 2021
93,1398159810227437568,RT @lukehgomes: Sabra Lane took no prisoners this morning – very much worth a listen: https://t.co/BGDLv0zoCG,0,108,Fri May 28 06:10:49 +0000 2021
94,1398159809959141378,"RT @ken_otim: Lord save us from the second wave of covid looming plus lockdown😥
Amen",0,3,Fri May 28 06:10:49 +0000 2021
95,1398159809560580099,RT @joaquimsacouto: Ameaça de lockdown pode ser o suficiente para amedrontar o vírus https://t.co/APbHr0Bnjv,0,1,Fri May 28 06:10:49 +0000 2021
96,1398159809329782785,Why can't the COWIN Autobook and schedule the vaccination for people who are technically challenged and don't know… https://t.co/IAFGvDhhcP,0,0,Fri May 28 06:10:49 +0000 2021
97,1398159808809689088,"Saw this beautiful Fly Agarlic on my 2 hour lockdown walk.
I love Melbourne Autumn. Hope everyone is staying safe.… https://t.co/4qK0Pw60VB",0,0,Fri May 28 06:10:49 +0000 2021
98,1398159806846967808,@alwayslearni @federicolois @spion @LDjaparidze @FatEmperor @SaltaoVladimir @AuldSkin @solarcycles @Parrhesiastes_8… https://t.co/QEfumTX2pA,0,0,Fri May 28 06:10:49 +0000 2021
99,1398159804745404424,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:10:48 +0000 2021
100,1398159800895041536,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:10:47 +0000 2021
101,1398159800769277954,"RT @AusAntiLeft: What's the difference between a snap lockdown and a circuit breaker? 
Are they named after dance moves or something?",0,5,Fri May 28 06:10:47 +0000 2021
102,1398159799993393152,"@af_cstu @SkyNews @Conservative You mustn’t have family that you can’t f**king see during lockdown, our government… https://t.co/dUIpK9JScr",0,0,Fri May 28 06:10:47 +0000 2021
103,1398159799804645376,"With the snap lockdown in Victoria, our Melbourne Showroom is closed. VIC warehouse is still dispatching, but all p… https://t.co/sQxrq7SBbS",0,0,Fri May 28 06:10:47 +0000 2021
104,1398159794649722881,"RT @nizambakeri: @AzminAli Kerja kau bukan share poster yang edit guna Canva, bodoh. Ingat orang kesian ke buat poster acah sedih macam ni?…",0,1284,Fri May 28 06:10:46 +0000 2021
105,1398159794008113154,"RT @NHSMillion: This is the Health Secretary Matt Hancock on 15th April 2020.

A full 23 days after the UK went into lockdown.

Please RT i…",0,1884,Fri May 28 06:10:46 +0000 2021
106,1398159793227845632,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:10:45 +0000 2021
107,1398159791592120320,@UberEats so during a lockdown you decide now is the best time to offer people 30% off delivered alcohol. Where peo… https://t.co/195Rk46dsE,0,0,Fri May 28 06:10:45 +0000 2021
108,1398159788383559680,"RT @SaharaReporters: Blame Yourself For Consequences If You Flout Sit-at-home Order On May 31, IPOB Tells Igbo People | Sahara Reporters
Th…",0,376,Fri May 28 06:10:44 +0000 2021
109,1398159787783720960,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:10:44 +0000 2021
110,1398159787267821569,RT @rnrselatan: Dekat Melbourne dah 11 kes covid tapi terus buat lockdown. Malaysia ni? Kes dah beribu pun tetap pkp pkpd sampai abang jami…,0,7088,Fri May 28 06:10:44 +0000 2021
111,1398159785011392515,@JIAxBTS nakakagigil naman po tagal yung mga yun kung hindi nga lang lockdown susugudin ko na ho sila eh HAHAHAHAHHAH charottt😭🤡,1,0,Fri May 28 06:10:43 +0000 2021
112,1398159782746288135,"RT @25Goldenn: it's lockdown here in melb and even though I have to catch up on 5 months of schools, this is me trying to translate zayn's…",0,158,Fri May 28 06:10:43 +0000 2021
113,1398159782725386246,"RT @shamaineothman: Nak bagitahu uolz skrg dekat UK, political adviser PM diorang baru dok bongkar strategi PM diorang masa lockdown tahun…",0,1483,Fri May 28 06:10:43 +0000 2021
114,1398159782566002691,"RT @AESPAIntl: [MYS LOCKDOWN] aespa has a high chance at winning 1st place on M Countdown. ❗

2 things every MYs should do:
🗳 cast your vot…",0,38,Fri May 28 06:10:43 +0000 2021
115,1398159782037516292,"RT @AlboMP: More than a year into the pandemic, and with millions of Australians in another lockdown, it’s clear Scott Morrison doesn’t hav…",0,503,Fri May 28 06:10:43 +0000 2021
116,1398159780611465224,"RT @felixsthetic: STREAMING, VOTING, AND CREATING WF ACCS IS OUR JOB RN! WE'RE ON STAY LOCKDOWN, DON'T ENGAGE ON ANY FANWARS",0,1020,Fri May 28 06:10:42 +0000 2021
117,1398159778619199488,"@tomas112000 The lockdown might have you feeling depressed but there's an easy fix bro, work out, be outside a lot,… https://t.co/ndBAWaxl9V",0,0,Fri May 28 06:10:42 +0000 2021
118,1398159776186466309,"RT @shamaineothman: Nak bagitahu uolz skrg dekat UK, political adviser PM diorang baru dok bongkar strategi PM diorang masa lockdown tahun…",0,1483,Fri May 28 06:10:41 +0000 2021
119,1398159775406473216,"RT @Femi_Sorry: We don't need Dominic Cummings to tell us that on the day Italy had its 79th death and Northern Italy was in lockdown, Bori…",0,406,Fri May 28 06:10:41 +0000 2021
120,1398159774039035904,"RT @FraserNelson: Prof Neil Ferguson says on R4 that his claim that a week’s delay on lockdown cost 20,000 lives is “unarguable”. On the co…",0,550,Fri May 28 06:10:41 +0000 2021
121,1398159773355319297,"RT @nungsari: Habis tu? Kita biarkan 50/60 orang mati setiap hari? Ini kerja kerajaanlah. Kalau kena lockdown, buat. Kalau kena bantu, bant…",0,1878,Fri May 28 06:10:41 +0000 2021
122,1398159772814254084,"RT @felixsthetic: STREAMING, VOTING, AND CREATING WF ACCS IS OUR JOB RN! WE'RE ON STAY LOCKDOWN, DON'T ENGAGE ON ANY FANWARS",0,1020,Fri May 28 06:10:41 +0000 2021
123,1398159768318062592,RT @banyezus__: Lockdown 2020 . #NyeezyCooks https://t.co/06gVeEzAMB,0,2,Fri May 28 06:10:39 +0000 2021
124,1398159763901345795,RT @rnrselatan: Dekat Melbourne dah 11 kes covid tapi terus buat lockdown. Malaysia ni? Kes dah beribu pun tetap pkp pkpd sampai abang jami…,0,7089,Fri May 28 06:10:38 +0000 2021
125,1398159762320101378,"RT @nungsari: Habis tu? Kita biarkan 50/60 orang mati setiap hari? Ini kerja kerajaanlah. Kalau kena lockdown, buat. Kalau kena bantu, bant…",0,1878,Fri May 28 06:10:38 +0000 2021
126,1398159757718999045,I haven’t seen any propaganda be pushed as aggressively as this second lockdown talk since the fight against kimansulo in the early 2000s,1,1,Fri May 28 06:10:37 +0000 2021
127,1398159757316296704,@KlbDistPolice @KalaburgiCorp . During this lockdown police patrolling has come down in interiors areas especially… https://t.co/N8vT9BKQfK,0,0,Fri May 28 06:10:37 +0000 2021
